|W|	SIw	P	R	F1	Poids(w,t)	Classifieur	TrainSetType	Category
450	ngl	0.8421052631578947	0.5161290322580645	0.6399999999999999	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
450	ngl	0.7837837837837838	0.9354838709677419	0.8529411764705881	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
450	ngl	0.896551724137931	0.8387096774193549	0.8666666666666666	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
450	ngl	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * ngl	SVM	part-queries-with-paragraph_text	p2
500	rf	0.9130434782608695	0.6774193548387096	0.7777777777777777	logtfSIw * rf	J48	part-queries-with-paragraph_text	p2
500	rf	1.0	0.22580645161290322	0.3684210526315789	logtfSIw * rf	NBM	part-queries-with-paragraph_text	p2
500	rf	0.8214285714285714	0.7419354838709677	0.7796610169491526	logtfSIw * rf	NB	part-queries-with-paragraph_text	p2
500	rf	0.9583333333333334	0.7419354838709677	0.8363636363636364	logtfSIw * rf	KNN	part-queries-with-paragraph_text	p2
500	rf	0.9090909090909091	0.6451612903225806	0.7547169811320754	logtfSIw * rf	SVM	part-queries-with-paragraph_text	p2
500	chi	0.896551724137931	0.8387096774193549	0.8666666666666666	logtfSIw * chi	J48	part-queries-with-paragraph_text	p2
500	chi	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * chi	NBM	part-queries-with-paragraph_text	p2
500	chi	0.8484848484848485	0.9032258064516129	0.875	logtfSIw * chi	NB	part-queries-with-paragraph_text	p2
500	chi	0.9310344827586207	0.8709677419354839	0.9	logtfSIw * chi	KNN	part-queries-with-paragraph_text	p2
500	chi	0.8846153846153846	0.7419354838709677	0.8070175438596492	logtfSIw * chi	SVM	part-queries-with-paragraph_text	p2
500	ngl	0.8620689655172413	0.8064516129032258	0.8333333333333334	logtfSIw * ngl	J48	part-queries-with-paragraph_text	p2
500	ngl	0.8421052631578947	0.5161290322580645	0.6399999999999999	logtfSIw * ngl	NBM	part-queries-with-paragraph_text	p2
500	ngl	0.7837837837837838	0.9354838709677419	0.8529411764705881	logtfSIw * ngl	NB	part-queries-with-paragraph_text	p2
500	ngl	0.896551724137931	0.8387096774193549	0.8666666666666666	logtfSIw * ngl	KNN	part-queries-with-paragraph_text	p2
